ID,A1,A2,agreement
287,In favor,In favor,In favor
9868,In favor,In favor,In favor
19657,In favor,In favor,In favor
23772,Against,Against,Against
23903,In favor,Neither,
36667,In favor,In favor,In favor
50297,In favor,In favor,In favor
52996,In favor,Neither,
64729,In favor,In favor,In favor
65348,In favor,Neither,
73775,Neither,Neither,Neither
74208,In favor,Neither,
75732,Neither,Neither,Neither
80396,Neither,Neither,Neither
92294,In favor,In favor,In favor
92734,In favor,In favor,In favor
104086,Against,Against,Against
108257,In favor,In favor,In favor
112289,In favor,In favor,In favor
112924,In favor,Neither,
115050,Neither,Neither,Neither
118998,In favor,In favor,In favor
129357,In favor,In favor,In favor
129368,Neither,Neither,Neither
131098,In favor,In favor,In favor
143157,In favor,In favor,In favor
143514,In favor,In favor,In favor
146966,In favor,In favor,In favor
148133,In favor,In favor,In favor
150900,Neither,Against,
151807,In favor,In favor,In favor
163550,In favor,In favor,In favor
183008,In favor,In favor,In favor
194227,In favor,In favor,In favor
208681,In favor,In favor,In favor
212382,In favor,In favor,In favor
214386,In favor,In favor,In favor
215028,Against,Against,Against
218453,In favor,In favor,In favor
230941,In favor,In favor,In favor
248449,In favor,Neither,
254333,Neither,Against,
265578,In favor,In favor,In favor
270404,Against,Against,Against
276715,In favor,In favor,In favor
288721,In favor,In favor,In favor
293795,In favor,In favor,In favor
304864,In favor,In favor,In favor
314807,Neither,Neither,Neither
316409,Against,Neither,
317969,In favor,In favor,In favor
323791,Neither,In favor,
326355,Neither,Neither,Neither
335667,In favor,Neither,
337963,In favor,In favor,In favor
340392,Against,Against,Against
342700,In favor,In favor,In favor
343360,Against,Against,Against
344468,In favor,In favor,In favor
346387,In favor,In favor,In favor
348395,In favor,Neither,
356065,In favor,In favor,In favor
360709,In favor,In favor,In favor
362546,Neither,Neither,Neither
372117,Neither,Neither,Neither
377537,In favor,In favor,In favor
390524,In favor,In favor,In favor
390779,In favor,In favor,In favor
392605,Neither,Neither,Neither
398005,Neither,Neither,Neither
398947,Neither,Neither,Neither
399477,In favor,Neither,
400810,In favor,In favor,In favor
410030,In favor,In favor,In favor
410577,In favor,In favor,In favor
411683,In favor,In favor,In favor
413255,In favor,In favor,In favor
417883,In favor,Neither,
421536,In favor,In favor,In favor
434751,Against,Against,Against
444001,Neither,Neither,Neither
444541,Neither,Neither,Neither
451641,Neither,In favor,
452310,In favor,In favor,In favor
455908,In favor,In favor,In favor
456704,In favor,In favor,In favor
462527,In favor,In favor,In favor
466918,In favor,In favor,In favor
467314,In favor,In favor,In favor
470125,In favor,In favor,In favor
472672,In favor,In favor,In favor
476278,In favor,In favor,In favor
477122,In favor,In favor,In favor
484269,In favor,In favor,In favor
488427,In favor,In favor,In favor
493328,In favor,In favor,In favor
494046,In favor,Neither,
503374,In favor,Neither,
504706,In favor,In favor,In favor
504843,In favor,In favor,In favor
506709,Neither,Neither,Neither
507326,Against,Against,Against
513597,In favor,In favor,In favor
519902,In favor,In favor,In favor
522145,In favor,In favor,In favor
525940,In favor,In favor,In favor
526503,In favor,In favor,In favor
534603,In favor,Neither,
535462,In favor,In favor,In favor
538119,In favor,In favor,In favor
542082,Neither,Neither,Neither
546235,In favor,In favor,In favor
548640,In favor,In favor,In favor
554738,In favor,In favor,In favor
555118,Against,Neither,
556259,In favor,In favor,In favor
557316,In favor,Neither,
557709,In favor,In favor,In favor
567428,In favor,In favor,In favor
569834,In favor,In favor,In favor
576160,Against,Against,Against
577588,In favor,In favor,In favor
583133,In favor,In favor,In favor
603036,In favor,In favor,In favor
603048,Neither,Neither,Neither
734,In favor,In favor,In favor
4772,In favor,In favor,In favor
6494,In favor,In favor,In favor
8414,In favor,In favor,In favor
9587,In favor,In favor,In favor
22094,In favor,In favor,In favor
25231,In favor,In favor,In favor
31068,In favor,In favor,In favor
38741,Neither,In favor,
73413,In favor,In favor,In favor
74167,In favor,In favor,In favor
