ID,A1,A2,agreement
173119,No,No,No
198718,Yes,Yes,Yes
535998,Yes,Not sure,
541431,No,No,No
554826,No,No,No
555528,Yes,Yes,Yes
613441,No,No,No
689961,Yes,Yes,Yes
752381,No,No,No
754885,No,No,No
827684,No,No,No
837311,Yes,Yes,Yes
941965,Yes,Yes,Yes
958730,Yes,Yes,Yes
994861,Yes,Yes,Yes
1004333,No,Not sure,
1005538,Yes,Yes,Yes
1030266,Not sure,No,
1032110,No,No,No
1048993,Yes,Yes,Yes
1111184,Yes,Yes,Yes
1166888,Yes,Yes,Yes
1177913,No,No,No
1185343,Yes,Yes,Yes
1187009,Yes,Yes,Yes
1195027,Yes,Yes,Yes
1224071,Yes,Yes,Yes
1335216,Yes,Yes,Yes
1336308,Yes,Yes,Yes
1358627,Yes,No,
1372090,Yes,Yes,Yes
1377929,Yes,Yes,Yes
1439421,Yes,Yes,Yes
1489212,Yes,Yes,Yes
1491431,Yes,Yes,Yes
1491724,Yes,Yes,Yes
1502837,No,No,No
1512256,No,No,No
1512281,No,No,No
1536829,Yes,Yes,Yes
1563587,Yes,Yes,Yes
1596672,Yes,Yes,Yes
1633335,Not sure,No,
1641149,Yes,Yes,Yes
1665127,No,No,No
1680582,Yes,Yes,Yes
1688632,Yes,Yes,Yes
1706393,Yes,Yes,Yes
1718642,Yes,Yes,Yes
1844574,Yes,Yes,Yes
1873254,Yes,Yes,Yes
1877761,Yes,Yes,Yes
1878326,Yes,No,
1894045,Yes,Yes,Yes
1924161,Yes,Yes,Yes
1971814,Yes,Yes,Yes
1985216,No,No,No
1993752,Yes,Not sure,
2028235,No,No,No
2032272,Yes,Yes,Yes
2085134,Yes,Yes,Yes
2097588,Not sure,Yes,
2136311,Yes,Yes,Yes
2142153,Yes,Yes,Yes
2150062,Yes,Yes,Yes
2208941,Yes,Yes,Yes
2209307,Yes,Yes,Yes
2215537,Yes,Yes,Yes
2248843,Yes,Yes,Yes
2256907,Yes,Yes,Yes
2276964,Yes,Yes,Yes
2278415,Yes,Yes,Yes
2297479,Yes,Yes,Yes
2316946,Not sure,Not sure,Not sure
2334446,Yes,Yes,Yes
2353152,Yes,Yes,Yes
2366716,Yes,Yes,Yes
2376670,No,No,No
2389641,Yes,Yes,Yes
2402307,Yes,Yes,Yes
2403232,Yes,Yes,Yes
2432008,Yes,Yes,Yes
2457866,No,No,No
2462754,Yes,Yes,Yes
2484351,Yes,Yes,Yes
2499005,Yes,Not sure,
2622367,Yes,Yes,Yes
2643185,Not sure,Yes,
2646959,Yes,Yes,Yes
2650743,Yes,Yes,Yes
2651478,Yes,Yes,Yes
2665674,Yes,Yes,Yes
2669567,Yes,Yes,Yes
2686394,Yes,Yes,Yes
2741101,Yes,Yes,Yes
2748031,Yes,Yes,Yes
2841518,No,Not sure,
2878333,Yes,Yes,Yes
2898308,Yes,Yes,Yes
2913842,Yes,Yes,Yes
2979252,Yes,Yes,Yes
2981849,Yes,Yes,Yes
2983174,Yes,Yes,Yes
3010806,Yes,Yes,Yes
3015699,Yes,Yes,Yes
3046928,No,No,No
3062701,Yes,Yes,Yes
3069348,No,Not sure,
3081266,Yes,Yes,Yes
3091880,Yes,Yes,Yes
3095448,Yes,Yes,Yes
3112200,Not sure,Not sure,Not sure
3130033,Yes,Yes,Yes
3156389,Yes,Yes,Yes
3161509,Yes,Yes,Yes
3199463,Yes,Yes,Yes
3219536,Yes,Yes,Yes
3231443,Yes,Yes,Yes
3231812,Yes,Yes,Yes
3272911,Yes,No,
3300831,Not sure,Not sure,Not sure
3302442,Yes,Yes,Yes
3312979,Yes,No,
3337609,Yes,Yes,Yes
