Input.id,Votes.Q1,Votes.Q2,Answer.Q1,Answer.Q2,Agreement.Q1,Agreement.Q2
3270628,"Yes,Yes,Yes","Neither,In favor,Neither",Yes,Neither,100,66
2237121,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
2345744,"Yes,Yes,Yes","Neither,Neither,Neither",Yes,Neither,100,100
2315174,"Yes,Yes,Yes","Neither,Against,Against",Yes,Against,100,66
594625,"Yes,Yes,Yes","Neither,Against,Neither",Yes,Neither,100,66
1699268,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
2710390,"Yes,Yes,Yes","Neither,Neither,Neither",Yes,Neither,100,100
2076541,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
1886524,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
2204805,"Yes,Yes,Yes","Against,Neither,Neither",Yes,Neither,100,66
2164817,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
424,"Yes,Yes,Yes","Neither,Neither,Neither",Yes,Neither,100,100
1144515,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
1425759,"Yes,Yes,Yes","Neither,In favor,Neither",Yes,Neither,100,66
1779117,"Yes,Yes,Yes","Neither,In favor,In favor",Yes,In favor,100,66
2560189,"Yes,Yes,Yes","Neither,In favor,In favor",Yes,In favor,100,66
1139240,"Yes,Yes,Yes","Neither,In favor,In favor",Yes,In favor,100,66
1560163,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
2081386,"Yes,Yes,Yes","Neither,Neither,Neither",Yes,Neither,100,100
2044587,"Yes,Yes,Yes","Neither,Neither,In favor",Yes,Neither,100,66
2641587,"Yes,Yes,Yes","Against,Neither,Neither",Yes,Neither,100,66
1656253,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
622978,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
721943,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
2987378,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
2992947,"Yes,Yes,Yes","In favor,Neither,Neither",Yes,Neither,100,66
236201,"Yes,Yes,Yes","Neither,Neither,Neither",Yes,Neither,100,100
227773,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
3036480,"Yes,Yes,Yes","In favor,Neither,Neither",Yes,Neither,100,66
1974949,"Yes,Yes,Yes","In favor,Neither,Neither",Yes,Neither,100,66
2747040,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
2456510,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
3242785,"Yes,Yes,Yes","Neither,In favor,In favor",Yes,In favor,100,66
2801300,"Yes,Yes,Yes","Neither,Neither,In favor",Yes,Neither,100,66
1451424,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
1071019,"Yes,Yes,Yes","In favor,Against,Against",Yes,Against,100,66
2829943,"Yes,Yes,Yes","Neither,Neither,Neither",Yes,Neither,100,100
1725012,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
2044294,"Yes,Yes,Yes","In favor,Neither,In favor",Yes,In favor,100,66
1176287,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
2985672,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
2229238,"Yes,Yes,Yes","Neither,Neither,In favor",Yes,Neither,100,66
3207287,"Yes,Yes,Yes","Against,Against,Against",Yes,Against,100,100
2980862,"Yes,Yes,Yes","Against,Against,Against",Yes,Against,100,100
175569,"Yes,Yes,Yes","Neither,Neither,Neither",Yes,Neither,100,100
1783052,"Yes,Yes,Yes","Neither,Neither,In favor",Yes,Neither,100,66
912258,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
2283596,"Yes,Yes,Yes","Neither,In favor,In favor",Yes,In favor,100,66
