Input.id,Votes.Q1,Votes.Q2,Answer.Q1,Answer.Q2,Agreement.Q1,Agreement.Q2
1807456,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
2982112,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
1475140,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
2028231,"Yes,Yes,Yes","In favor,Neither,In favor",Yes,In favor,100,66
1527568,"Yes,Yes,Yes","Neither,In favor,In favor",Yes,In favor,100,66
2697265,"Yes,Yes,Yes","Against,Neither,Neither",Yes,Neither,100,66
1691019,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
1971875,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
3290517,"Yes,Yes,Yes","In favor,Neither,Neither",Yes,Neither,100,66
1776776,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
1881078,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
3216293,"Yes,Yes,Yes","Neither,Neither,Neither",Yes,Neither,100,100
2406803,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
2808919,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
3271974,"No,No,No","Neither,Neither,Neither",No,Neither,100,100
1861602,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
1392104,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
2025664,"Yes,Yes,Yes","Neither,In favor,Neither",Yes,Neither,100,66
1083947,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
3225193,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
3225143,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
1814247,"Yes,Yes,Yes","Neither,In favor,In favor",Yes,In favor,100,66
2504246,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
1999887,"Yes,Yes,Yes","In favor,Against,Against",Yes,Against,100,66
689958,"Yes,Yes,Yes","Against,In favor,Neither",Yes,In favor,100,0
3093375,"No,Yes,Yes","Neither,In favor,Neither",Yes,Neither,66,66
3085468,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
2174851,"No,No,No","Neither,Neither,Neither",No,Neither,100,100
2111714,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
2601740,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
2275382,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
2022088,"Yes,Yes,Yes","Against,Against,Against",Yes,Against,100,100
2539874,"Yes,Yes,Yes","Neither,Neither,Neither",Yes,Neither,100,100
831290,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
2709158,"Yes,Yes,Yes","In favor,Against,In favor",Yes,In favor,100,66
1030089,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
1280666,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
1606418,"No,No,No","Neither,Neither,Neither",No,Neither,100,100
850167,"Yes,Yes,Yes","Neither,In favor,In favor",Yes,In favor,100,66
2203383,"Yes,Yes,Yes","Neither,Against,In favor",Yes,Neither,100,0
2742863,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
266757,"Yes,Yes,Yes","In favor,Neither,In favor",Yes,In favor,100,66
849293,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
3124292,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
2637836,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
1624154,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
2528053,"Yes,Yes,Yes","Against,Neither,Against",Yes,Against,100,66
3189326,"Yes,Yes,Yes","In favor,Neither,In favor",Yes,In favor,100,66
2718313,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
1702865,"Yes,Yes,Yes","Neither,Neither,Neither",Yes,Neither,100,100
