Input.id,Votes.Q1,Votes.Q2,Answer.Q1,Answer.Q2,Agreement.Q1,Agreement.Q2
247361,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
537953,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
491323,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
416298,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
44807,"Yes,Yes,Yes","In favor,Neither,Neither",Yes,Neither,100,66
150798,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
151978,"Yes,Yes,Yes","In favor,Neither,In favor",Yes,In favor,100,66
320294,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
555545,"Yes,Yes,Yes","Neither,Neither,Neither",Yes,Neither,100,100
317326,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
421926,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
460842,"Yes,Yes,Yes","In favor,In favor,Neither",Yes,In favor,100,66
427250,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
78214,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
357935,"Yes,Yes,Yes","Neither,Neither,Neither",Yes,Neither,100,100
538580,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
576731,"Yes,Yes,Yes","Against,Against,Against",Yes,Against,100,100
165660,"Yes,Yes,Yes","In favor,Against,In favor",Yes,In favor,100,66
19031,"Yes,Yes,Yes","In favor,In favor,Neither",Yes,In favor,100,66
419340,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
114771,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
287844,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
111412,"Yes,Yes,Yes","Against,Neither,Neither",Yes,Neither,100,66
112872,"Yes,Yes,Yes","In favor,In favor,Neither",Yes,In favor,100,66
584730,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
429919,"Yes,Yes,Yes","Against,Against,In favor",Yes,Against,100,66
409780,"Yes,Yes,Yes","Neither,Neither,Neither",Yes,Neither,100,100
183310,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
334470,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
414703,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
322831,"Yes,Yes,Yes","Neither,Against,Neither",Yes,Neither,100,66
497346,"Yes,Yes,Yes","Neither,In favor,Neither",Yes,Neither,100,66
569892,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
396282,"Yes,Yes,Yes","Neither,In favor,In favor",Yes,In favor,100,66
566153,"Yes,Yes,Yes","Neither,Against,In favor",Yes,,100,0
86236,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
547069,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
569856,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
421776,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
130332,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
227798,"Yes,Yes,Yes","Against,Against,In favor",Yes,Against,100,66
3809,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
448843,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
5731,"Yes,Yes,Yes","In favor,In favor,Neither",Yes,In favor,100,66
495589,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
328860,"Yes,Yes,Yes","In favor,In favor,Neither",Yes,In favor,100,66
603199,"Yes,Yes,Yes","Against,Against,Against",Yes,Against,100,100
533199,"Yes,Yes,Yes","Neither,Against,Against",Yes,Against,100,66
460576,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
102385,"Yes,Yes,Yes","In favor,Neither,Neither",Yes,Neither,100,66
406122,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
533066,"Yes,Yes,Yes","Neither,Neither,In favor",Yes,Neither,100,66
118192,"Yes,Yes,Yes","Neither,Neither,In favor",Yes,Neither,100,66
12183,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
377139,"Yes,Yes,Yes","Neither,In favor,In favor",Yes,In favor,100,66
182264,"Yes,Yes,Yes","Against,Against,Against",Yes,Against,100,100
186747,"Yes,Yes,Yes","Against,Neither,Against",Yes,Against,100,66
460569,"Yes,Yes,Yes","In favor,Neither,Neither",Yes,Neither,100,66
415362,"Yes,Yes,Yes","In favor,In favor,Neither",Yes,In favor,100,66
233142,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
451702,"Yes,Yes,Yes","Neither,Neither,Neither",Yes,Neither,100,100
147537,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
504799,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
444084,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
444352,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
415034,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
568456,"Yes,Yes,Yes","Neither,Against,Against",Yes,Against,100,66
209401,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
22374,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
214669,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
535868,"Yes,Yes,Yes","Against,In favor,In favor",Yes,In favor,100,66
52096,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
503442,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
209085,"Yes,Yes,Yes","Neither,In favor,Neither",Yes,Neither,100,66
4286,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
569102,"Yes,Yes,Yes","Neither,In favor,Neither",Yes,Neither,100,66
415594,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
556126,"Yes,Yes,Yes","In favor,Neither,Neither",Yes,Neither,100,66
238363,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
164240,"Yes,Yes,Yes","In favor,Neither,Neither",Yes,Neither,100,66
251945,"Yes,Yes,Yes","In favor,Neither,Against",Yes,,100,0
371052,"Yes,Yes,Yes","Neither,Neither,In favor",Yes,Neither,100,66
435351,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
427435,"Yes,Yes,Yes","Neither,Against,In favor",Yes,,100,0
311253,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
340977,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
182539,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
428722,"Yes,Yes,Yes","Against,In favor,Against",Yes,Against,100,66
529538,"Yes,Yes,Yes","Neither,In favor,Against",Yes,,100,0
443604,"Yes,Yes,Yes","Neither,Neither,Neither",Yes,Neither,100,100
51898,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
435362,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
400267,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
539663,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
330764,"Yes,Yes,Yes","In favor,In favor,Neither",Yes,In favor,100,66
321754,"Yes,Yes,Yes","Against,Against,In favor",Yes,Against,100,66
122358,"Yes,Yes,Yes","Neither,In favor,In favor",Yes,In favor,100,66
546574,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
460139,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
