Input.id,Votes.Q1,Votes.Q2,Answer.Q1,Answer.Q2,Agreement.Q1,Agreement.Q2
242176,"Yes,Yes,Yes","Against,Against,Against",Yes,Against,100,100
419758,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
415805,"Yes,Yes,Yes","Against,Against,Against",Yes,Against,100,100
204063,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
577560,"Yes,Yes,Yes","In favor,Neither,Neither",Yes,Neither,100,66
522036,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
78108,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
345551,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
429195,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
358890,"Yes,Yes,Yes","Neither,Neither,Neither",Yes,Neither,100,100
444047,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
143079,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
338872,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
321915,"Yes,Yes,Yes","In favor,In favor,Against",Yes,In favor,100,66
131462,"Yes,Yes,Yes","Neither,In favor,In favor",Yes,In favor,100,66
547869,"Yes,Yes,Yes","Against,Neither,In favor",Yes,,100,0
442020,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
496881,"Yes,Yes,Yes","Against,In favor,In favor",Yes,In favor,100,66
316443,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
152337,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
557472,"Yes,Yes,Yes","In favor,In favor,Neither",Yes,In favor,100,66
258109,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
148502,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
469551,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
98002,"Yes,Yes,Yes","Neither,In favor,Neither",Yes,Neither,100,66
426473,"Yes,Yes,Yes","Neither,Against,In favor",Yes,,100,0
554040,"Yes,Yes,Yes","Neither,Neither,Neither",Yes,Neither,100,100
34618,"Yes,Yes,Yes","Against,Against,In favor",Yes,Against,100,66
570213,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
139217,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
3306,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
423500,"Yes,Yes,Yes","In favor,In favor,Neither",Yes,In favor,100,66
152268,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
523533,"Yes,Yes,Yes","In favor,In favor,Neither",Yes,In favor,100,66
570454,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
379270,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
198195,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
111478,"Yes,Yes,No","In favor,In favor,Neither",Yes,In favor,66,66
552546,"Yes,Yes,Yes","In favor,In favor,Neither",Yes,In favor,100,66
125701,"Yes,Yes,Yes","Neither,Neither,Neither",Yes,Neither,100,100
120857,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
357286,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
94192,"Yes,Yes,Yes","In favor,Neither,In favor",Yes,In favor,100,66
286759,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
426713,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
320181,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
425777,"Yes,Yes,Yes","Against,Against,Against",Yes,Against,100,100
537595,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
191764,"Yes,Yes,Yes","Neither,Against,Against",Yes,Against,100,66
208394,"Yes,Yes,Yes","In favor,In favor,In favor",Yes,In favor,100,100
